,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2025-03-24 18:34:06.770000+00:00,,,,,348.5,-1.125,-1.5,23.0,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:07.588000+00:00,,,,,348.5,-1.125,-1.5,22.95,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:07.908000+00:00,,,,,348.5,-1.125,-1.5,23.0,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:08.587000+00:00,,,,,348.5,-1.125,-1.5,22.95,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:08.858000+00:00,,,,,348.5,-1.125,-1.5,23.0,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:09.803000+00:00,,,,,348.5,-1.125,-1.5,23.0,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:10.231000+00:00,,,,,348.5,-1.125,-1.5,22.96,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:10.803000+00:00,,,,,348.5,-1.125,-1.5,23.0,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:11.260000+00:00,,,,,348.5,-1.125,-1.5,22.96,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:11.810000+00:00,,,,,348.5,-1.125,-1.5,23.0,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:12.430000+00:00,,,,,348.5,-1.125,-1.5,22.96,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:12.892000+00:00,,,,,348.5,-1.125,-1.5,23.0,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:13.350000+00:00,,,,,348.5,-1.125,-1.5,22.96,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:13.830000+00:00,,,,,348.5,-1.125,-1.5,23.0,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
2025-03-24 18:34:14.591000+00:00,,,,,348.5,-1.125,-1.5,22.96,-83.562,-6.062,-18.375,0.001,-0.008,-0.03,-0.07,0.23,9.5,-0.06,0.1,-0.41,-0.18,0.26,9.8,0.13625,0.0,0.0,0.0,4.9,7.0,1016.77,67.24,-14.56
