,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 19:47:08.505000+00:00,20.359041610305777,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:08.899000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.290000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.488000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.539000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.588000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.636000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.686000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.734000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.785000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.833000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.885000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:09.932000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.072000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.242000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.298000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.348000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.400000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.449000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.501000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.553000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,21.31,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.603000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.688,-18.375,-17.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.655000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.0,-13.875,-23.0,0.0,-0.011,0.004,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.704000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.66,0.02,9.48,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.755000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.47,0.05,-0.32,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.806000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.19,-0.02,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.858000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,1.0025,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.909000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,1.0025,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:10.960000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.011000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.062,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.303000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.360000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-84.0,-13.875,-23.0,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.409000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-131.25,-26.0,-4.875,0.0,0.012,-0.001,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.460000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.57,-0.12,9.46,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.510000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.39,-0.11,-0.34,-0.18,-0.01,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.561000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.01,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.612000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.663000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.714000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,22.0,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.765000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.816000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.868000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.919000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.60875,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:11.969000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.60875,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.019000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.070000+00:00,20.173060559872784,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.120000+00:00,19.984168587916376,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.171000+00:00,19.79527661595996,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.221000+00:00,19.60638464400355,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.272000+00:00,19.488874717828047,45.0,45.0,45.0,313.125,-1.062,0.125,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.334000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,21.31,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.384000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,22.0,-131.25,-26.0,-4.875,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.436000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,22.0,-119.25,-10.875,12.25,0.003,-0.003,-0.006,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.486000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,22.0,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.33,-0.13,9.47,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.536000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,22.0,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,-0.14,-0.11,-0.32,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.586000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,22.0,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.18,-0.02,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.637000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,22.0,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.689000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,22.0,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.739000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,22.0,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.789000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,21.31,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.840000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,21.31,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.890000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,21.31,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.941000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,21.31,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.56125,-1.25,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:12.992000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,21.31,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.56125,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.043000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,21.31,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.103000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.125,0.062,21.31,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.321000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,21.31,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.371000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-119.25,-10.875,12.25,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.416000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.007,0.0,0.0,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.468000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.05,0.09,9.45,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.518000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,0.14,0.11,-0.34,-0.19,-0.01,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.568000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.01,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.620000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.670000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.87375,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.719000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.8,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.769000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.8,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.820000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.8,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.870000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,22.0,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.8,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.921000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,21.31,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.8,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:13.971000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,21.31,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.8,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:14.022000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,21.31,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.8,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
2024-11-26 19:47:14.072000+00:00,19.488874717828047,45.0,45.0,45.0,313.062,-1.062,0.125,21.31,-82.25,-19.375,-17.0,0.008,0.002,0.004,-0.21,-0.16,9.44,-0.01,-0.14,-0.36,-0.19,-0.02,9.8,0.8,0.0,0.0,135.0,5.0,8.0,1020.99,42.69,-49.57
