,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 20:29:57.485000+00:00,33.5330526699794,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:57.536000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:57.880000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.131000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.183000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.234000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.286000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.335000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.385000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.435000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.622000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.708000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.712000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.899000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.992000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:58.997000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.043000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.093000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.144000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.195000+00:00,33.3475872922355,15.0,15.0,15.0,21.188,-0.938,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.245000+00:00,33.3475872922355,15.0,15.0,15.0,21.125,-0.875,0.312,21.55,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.299000+00:00,33.3475872922355,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-82.0,1.688,-21.75,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.359000+00:00,33.3475872922355,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,0.004,-0.001,0.004,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.420000+00:00,33.3475872922355,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.09,0.28,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.474000+00:00,33.3475872922355,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,0.06,0.34,-0.4,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.525000+00:00,33.3475872922355,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.16,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.575000+00:00,33.3475872922355,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.629000+00:00,33.34766399722896,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.676000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,0.98375,-1.25,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.727000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,0.98375,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.777000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.827000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:29:59.944000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.045000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.054000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,21.55,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.109000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,21.55,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.158000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,21.55,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.210000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.312,21.55,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.260000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,21.55,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.310000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-134.062,-8.5,-3.0,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.360000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.041,0.006,0.028,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.412000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.23,-0.19,9.39,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.461000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,-0.07,-0.13,-0.41,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.511000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.15,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.561000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.629000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,1.0362500000000001,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.679000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.735000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:00.997000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.051000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.102000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,21.55,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.151000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,21.55,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.202000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,21.55,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.251000+00:00,33.43549564290822,15.0,15.0,15.0,21.125,-0.875,0.25,21.55,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.301000+00:00,33.4357439667222,15.0,15.0,15.0,21.125,-0.875,0.25,21.55,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.352000+00:00,33.4357439667222,15.0,15.0,15.0,21.062,-0.812,0.375,21.55,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.402000+00:00,33.4357439667222,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-78.75,1.375,-22.062,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.452000+00:00,33.4357439667222,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.016,0.001,0.003,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.503000+00:00,33.4357439667222,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.558000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.02,0.02,9.48,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.617000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,0.13,0.07,-0.32,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.672000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.16,-0.05,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.723000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.777000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9675,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.836000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:01.882000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,5.8,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.142000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.237000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.242000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,21.55,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.297000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,21.55,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.358000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,21.55,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.368000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.375,21.55,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.426000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,21.55,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.479000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-133.688,-8.375,13.0,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.537000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-74.0,2.062,-28.375,-0.024,0.009,0.016,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.598000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-74.0,2.062,-28.375,-0.012,-0.022,-0.008,-0.6,-0.53,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.659000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-74.0,2.062,-28.375,-0.012,-0.022,-0.008,-0.35,0.13,9.45,-0.46,-0.46,-0.35,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.711000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-74.0,2.062,-28.375,-0.012,-0.022,-0.008,-0.35,0.13,9.45,-0.22,-0.01,-0.38,-0.14,-0.06,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.763000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-74.0,2.062,-28.375,-0.012,-0.022,-0.008,-0.35,0.13,9.45,-0.22,-0.01,-0.38,-0.14,-0.05,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.814000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-74.0,2.062,-28.375,-0.012,-0.022,-0.008,-0.35,0.13,9.45,-0.22,-0.01,-0.38,-0.14,-0.05,9.8,0.9575,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.863000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-74.0,2.062,-28.375,-0.012,-0.022,-0.008,-0.35,0.13,9.45,-0.22,-0.01,-0.38,-0.14,-0.05,9.8,1.03875,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
2024-11-26 20:30:02.913000+00:00,33.43599229053619,15.0,15.0,15.0,21.062,-0.812,0.312,22.0,-74.0,2.062,-28.375,-0.012,-0.022,-0.008,-0.35,0.13,9.45,-0.22,-0.01,-0.38,-0.14,-0.05,9.8,1.03875,0.0,0.0,180.0,6.0,6.0,1020.21,43.19,-43.49
